,puesdo_id,real_id,title,categories,tags,description,is_live,view_count,like_count,channel_url,duration,average_rating,age_limit,webpage_url,rgb_by_frame,audio_by_frame
0,mEjw,OR4T0d2n1F4,Сокровища пиратов уровень 958 прохождение на три звезды - pirate treasures level 958 walkthrough,['Gaming'],"['сокровища пиратов прохождение', 'сокровища пиратов видео', 'игра в одноклассниках', 'игра в контакте', 'уровень 958', 'pirate treasures walkthrough']","вКонтакте http://vk.com/id36678856
Одноклассники http://odnoklassniki.ru/profile/478563178265
Скайп - ""bredmister""
Подписывайтесь на мой канал - https://www.youtube.com/channel/UCu13VgnJf80NRPNVdAHndqQ",,57633.0,27.0,https://www.youtube.com/channel/UCu13VgnJf80NRPNVdAHndqQ,170.0,,0.0,https://www.youtube.com/watch?v=OR4T0d2n1F4,"[[ 82.  63.  98. ... 209. 110. 187.]
 [ 83.  62.  99. ... 210. 105. 190.]
 [ 78.  63.  99. ... 214. 105. 185.]
 ...
 [ 80.  63.  62. ... 107.   0. 180.]
 [ 76.  67.  65. ...  95.   0. 191.]
 [ 88.  63.  61. ... 109.   0. 179.]]","[[173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 ...
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]]"
1,5tjw,px7V6H8F5Ew,Spyder's Uncharted 3 Experience Part 1,['People & Blogs'],"['Ps3', 'Playstation', 'Experience (Quotation Subject)', 'jeremy', 'spyder', 'thomas', 'gallant', 'parkour', 'free', 'running', 'actor', 'color', 'of', 'anger', 'sony', 'make.believe', 'training', 'camp', 'multiplayer', 'character', 'los', 'angeles', 'documentary']","The first part of my personal documentary showcasing my travel to Los Angeles to compete in an epic contest to become a multiplayer character in Uncharted 3. Made friends and family along the way on what was the most exciting trip of my life. Not enough thanks and love can go out to everyone involved, whether it be to my subscribers, my friends, my family, Sony, the Audition Crew, Eve, Nolan, Amy, Emily, Justin, Eric, Trevor, Mike, Jesse or all of Naughty Dog. This was incredible and a dream come true.",,21380.0,306.0,https://www.youtube.com/channel/UCwrvU76FXngCaQywaFy5FNg,282.0,,0.0,https://www.youtube.com/watch?v=px7V6H8F5Ew,"[[255. 184. 181. ... 132. 158. 142.]
 [228. 185. 140. ... 101. 111.  93.]
 [216. 172.  80. ...   0.   0.  10.]
 ...
 [132. 143. 202. ... 149. 189.  90.]
 [  0.  80. 162. ... 157. 157. 170.]
 [  0.  74. 172. ... 139. 128. 138.]]","[[ 80.  96. 132. ... 163.  88. 103.]
 [ 23. 153.  54. ...   0. 255.  84.]
 [ 31. 155.  73. ...  88. 255. 255.]
 ...
 [142.  80. 111. ... 152. 235.  98.]
 [122. 104.  91. ... 145. 255.   0.]
 [142.  86. 123. ...  83. 252.  36.]]"
2,EUjw,bQ4Wdm4--es,Arisxandra Libantino - I Have Nothing (Whitney Houston) - Semi Final [HD] Britain's Got Talent 2013,['Entertainment'],"['Got Talent', ""Britain's Got Talent (TV Program)"", 'I Have Nothing (Composition)', 'Jason Viet Tien', 'Diamond White', 'Leona Lewis', 'Whitney Houston (Musical Artist)', 'Jack Vidgen', 'Aliyah Kolf', 'Melanie Amaro', 'Krysten Colon', 'Danyl Johnson', 'Lisa Sulistyowati', 'James Anderson', 'Misha B needs a Bodyguard', 'X Factor Indonesia', 'X Factor', 'TV Program', 'live', 'show', 'performance', '2012', '2013', '2014', 'The X Factor (U.S.) (TV Program)', 'UK', 'USA', 'bgt', 'cover', 'child', '11 years', ""America's Got Talent"", 'semifinal']",,,13158.0,104.0,https://www.youtube.com/channel/UCvtK-gJkMrzWeiDnQQx6ulg,132.0,,0.0,https://www.youtube.com/watch?v=bQ4Wdm4--es,"[[103.  53. 184. ...  96.  45.  83.]
 [ 74. 178. 103. ... 255. 101.  81.]
 [ 62.  52. 255. ...  88.  88. 140.]
 ...
 [127. 162. 187. ... 106.  68. 218.]
 [142. 168. 183. ...  94.  99. 168.]
 [121.  52. 208. ... 148. 167. 106.]]","[[179.  98. 148. ... 255.  66. 177.]
 [139.  94.  63. ... 183.  26. 213.]
 [143. 102.  89. ... 255. 138. 255.]
 ...
 [107. 255. 255. ...   2. 255. 255.]
 [143. 219. 255. ...   0. 255. 193.]
 [132. 241. 251. ...   0. 255. 223.]]"
3,cSjw,S6GEWGhe-BY,DiMarzio Illuminator com John Petrucci,['Music'],['RoyalMusic'],"=====================================
Inscreva-se » http://bit.ly/YouTubeJoin
Mais vídeos » http://bit.ly/YoutubeMore

Facebook » http://bit.ly/FBRoyalMusic
Google+ » http://bit.ly/RoyalMusicGooglePlus
Twitter » http://bit.ly/RoyalMusicTwitter
Flickr » http://bit.ly/RoyalMusicOnTwitter
RSS » http://bit.ly/RoyalMusicRSS
=====================================",,1946.0,10.0,https://www.youtube.com/channel/UCYXJZPJkZ8fgjPJivKjemgw,305.0,,0.0,https://www.youtube.com/watch?v=S6GEWGhe-BY,"[[  0.  72. 173. ... 142. 119. 137.]
 [ 42.  40. 124. ...  32. 112.   1.]
 [ 35.  42. 131. ...  15. 106.  24.]
 ...
 [ 56.  15.  86. ... 112. 148. 107.]
 [ 57.  11.  86. ... 124. 149. 111.]
 [ 55.  14.  84. ... 121. 149. 104.]]","[[172. 106.  84. ...   4. 255. 228.]
 [183.  91.  95. ... 119. 128. 101.]
 [187. 122. 105. ... 255.  73.  90.]
 ...
 [173. 139.  62. ... 255.   0.  55.]
 [185. 123.  99. ... 255.   0. 142.]
 [151.  58. 100. ... 255.  90. 182.]]"
4,Cgjw,,,,,,,,,,,,,,"[[  0.  72. 173. ... 142. 119. 137.]
 [  0. 107. 148. ... 159. 130.  95.]
 [  0. 116.  98. ... 231. 108. 156.]
 ...
 [  0.  85. 116. ... 179.  89. 167.]
 [  0.  85. 116. ... 179.  89. 167.]
 [ 67. 100.  78. ... 127. 188. 240.]]","[[173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [171.  79. 121. ... 166.  95. 133.]
 ...
 [173.  27. 126. ... 133. 130. 187.]
 [148.  45. 101. ... 148. 237.   0.]
 [173.  27. 126. ... 133. 130. 187.]]"
5,TWjw,K-SL69Y65ZA,HRSportDE | EURO 2012: Slaven Bilic im Interview,['Science & Technology'],"['EURO 2012', 'Kroatien', 'Slaven Bilic', 'Europameisterschaft', 'Fussball-EM']","Kroatiens Nationaltrainer im Interview.

Mehr Information zur EURO bzw. zum kroatischen Fussball gibt es auf http://www.hrsport.de

Folgt uns auf Twitter!
https://twitter.com/#!/HRSportDE

Liket uns auf Facebook!
http://www.facebook.com/HRSportDE",,2378.0,3.0,https://www.youtube.com/channel/UCdkO3o1Z7PWczu7g0M39UOA,202.0,,0.0,https://www.youtube.com/watch?v=K-SL69Y65ZA,"[[153. 151. 135. ... 120. 112. 217.]
 [104. 165. 119. ...  89. 150. 197.]
 [101. 153. 148. ... 133. 178. 236.]
 ...
 [159. 150. 111. ... 150. 197. 136.]
 [204. 152. 128. ... 125. 112. 117.]
 [167. 163. 145. ... 199. 196. 135.]]","[[ 35. 130. 202. ...  59. 187.  11.]
 [ 69. 116. 214. ...  91. 180.  99.]
 [ 15. 255. 212. ... 255. 117. 255.]
 ...
 [ 52. 199. 183. ... 209.  90. 255.]
 [ 44. 207. 209. ... 255. 105. 238.]
 [ 90. 176. 204. ... 191.  75. 255.]]"
6,J2jw,hz5ouWcoYZg,"Lindsey Stirling Sings ""We Found Love"" Chicago",['Music'],"['Lindsey', 'Stirling', 'we', 'found', 'love', 'sings', 'sing', 'violin', 'live', 'amazing', 'fun', 'new', 'Chicago', 'cover', 'video', 'Illinois', 'singing', 'HD', 'Rihanna', '1080p', 'song', 'Pretty', 'Best', 'quality', 'The', 'Vic', 'Lindseystomp', 'rare', 'old', 'contest', 'cute', 'We Found Love (Musical Recording)', 'Lindsey Stirling (Musical Artist)', 'dancing', 'warmer', 'winter', 'santa', 'baby', 'concert']","Lindsey Stirling singing and playing to her version of ""We found love""
(Original song by Rihanna)

Lindsey's Channel: http://www.youtube.com/user/lindseystomp

Lindsey's Original video: http://www.youtube.com/watch?v=0g9poWKKpbU

VIP Pre-show Q&A: http://www.youtube.com/watch?v=UAV9Y6FTVHQ

Rihanna's Original video: http://www.youtube.com/watch?v=tg00YEETFzg",,71568.0,996.0,https://www.youtube.com/channel/UCQFN-mjj3nTIsCgsHocPf3Q,208.0,,0.0,https://www.youtube.com/watch?v=hz5ouWcoYZg,"[[  0.  94. 163. ... 121. 162.  25.]
 [  0.  12. 108. ...  68. 171.  93.]
 [  0.  16. 101. ... 105. 106.  63.]
 ...
 [124. 162. 215. ... 130. 145. 166.]
 [121. 163. 217. ... 146. 162. 166.]
 [121. 163. 217. ... 146. 162. 166.]]","[[173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 ...
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]]"
7,r0jw,1sayynfYa7Y,Review Nerf Centurion Mega Blaster Part 1,['Education'],"['Nerf (Weapon)', 'Mega', 'blaster', 'joker', 'therealnerfjoker', 'elite', 'longstrike', 'centurion']",Centurion Mega blaster I love it!,,1218.0,12.0,https://www.youtube.com/channel/UCWLB5KIAekfI55Gj4HZnneA,145.0,,0.0,https://www.youtube.com/watch?v=1sayynfYa7Y,"[[126. 152.  77. ... 153.   0. 124.]
 [141. 148.  86. ...  41.  30. 152.]
 [159. 134.  78. ...  47.  16. 150.]
 ...
 [124. 182. 124. ... 197.  12.  89.]
 [150. 183. 119. ... 186.  58. 221.]
 [159. 172. 127. ... 103.  84. 220.]]","[[ 93.  73. 173. ... 255. 105. 187.]
 [ 99.  58. 153. ... 255. 140. 255.]
 [ 51.  83. 202. ...  17. 208. 198.]
 ...
 [  0.  97. 190. ...   0. 251.   0.]
 [ 20.  72. 172. ...   0. 255. 168.]
 [ 12.  83. 181. ...   0. 255.  96.]]"
8,E8jw,,,,,,,,,,,,,,"[[192.  67. 255. ... 105. 145.  98.]
 [163.  24. 255. ...  60. 197.  39.]
 [109.  83. 255. ...  77. 255.  73.]
 ...
 [150. 130. 255. ...  90. 193.   0.]
 [193.  99. 255. ... 110. 116.  36.]
 [157.  91. 255. ... 153.  94.  62.]]","[[116. 255. 178. ... 176. 255. 255.]
 [ 54. 255. 158. ...   0.   0. 255.]
 [120. 255. 204. ... 254. 150. 220.]
 ...
 [180. 146. 101. ...  82.  23.  37.]
 [166. 195. 158. ...  17. 255.   0.]
 [ 98. 255. 223. ... 163. 211. 255.]]"
9,9ujw,,,,,,,,,,,,,,"[[  0.  72. 173. ... 142. 119. 137.]
 [ 98. 193. 116. ... 171. 132. 211.]
 [ 99. 195. 124. ... 255.  41. 141.]
 ...
 [ 17. 110.  26. ...  23. 164. 105.]
 [ 33. 104.  29. ...  81. 128. 103.]
 [ 38. 106.  26. ...  63. 135. 147.]]","[[171.  22. 131. ... 152. 138. 170.]
 [172.  52. 110. ... 116.  71.   0.]
 [197. 104.  87. ...  49. 255. 255.]
 ...
 [142.  52. 134. ...  66. 180. 209.]
 [173.  27. 126. ... 133. 130. 187.]
 [173.  27. 126. ... 133. 130. 187.]]"
